| Degrees (°) | Radians (π) | ≈ Radians (rad) |
| ----------- | ----------- | --------------- |
| 0°          | 0π     (E)  | 0.00000000      |
| 30°         | π/6         | 0.52359878      |
| 60°         | π/3         | 1.04719755      |
| 90°         | π/2    (N)  | 1.57079633      |
| 120°        | 2π/3        | 2.09439510      |
| 150°        | 5π/6        | 2.61799388      |
| 180°        | π      (W)  | 3.14159265      |
| 210°        | 7π/6        | 3.66519143      |
| 240°        | 4π/3        | 4.18879020      |
| 270°        | 3π/2   (S)  | 4.71238898      |
| 300°        | 5π/3        | 5.23598776      |
| 330°        | 11π/6       | 5.75958653      |
