x_m, y_m
0,0
0.416163366,0.186773592
0.833465169,0.37103598
1.251769264,0.553105993
1.67093622,0.733309028
2.090826698,0.911970301
2.511301359,1.089415119
2.932220864,1.265968788
3.353445784,1.441956706
3.774836779,1.617704088
4.196254602,1.793536242
4.617559822,1.969778474
5.0386131,2.146756091
5.459276923,2.324789563
5.879553298,2.503832992
6.299678197,2.683226091
6.719909859,2.862249992
7.140506705,3.040185462
7.561727062,3.216313631
7.983829169,3.389915449
8.407071447,3.560271866
8.831712224,3.72666392
9.258009738,3.888372471
9.686222411,4.04467874
10.11660857,4.194863402
10.54942636,4.338207682
10.98487444,4.474107958
11.42284348,4.602552096
11.86312627,4.723717484
12.30551538,4.837781148
12.74980349,4.944920479
13.1957832,5.045312685
13.64325531,5.138921173
14.09218861,5.221326244
14.5427092,5.284000938
14.99494821,5.318411636
15.44896012,5.325336699
15.90468033,5.320107976
16.36201393,5.318755466
16.82047219,5.326079475
17.27920556,5.336585103
17.7373511,5.344397026
18.19404586,5.34363965
18.64842697,5.32843747
19.09967437,5.293047932
19.54779317,5.234279108
19.99353143,5.151236929
20.43762482,5.043121039
20.87866808,4.909767827
21.31204533,4.751968524
21.73300188,4.570569929
22.13908567,4.366001467
22.52987073,4.138325097
22.90500046,3.887590274
23.26411817,3.613846367
23.60686725,3.317142833
23.93288982,2.997531866
24.24139172,2.656138764
24.53048837,2.29677112
24.79812764,1.923648158
25.04209654,1.539940546
25.25946557,1.144137639
25.44711644,0.733430756
25.60569758,0.307367116
25.74504173,-0.128762144
25.87635522,-0.568806764
26.00779373,-1.007929028
26.13425665,-1.446995173
26.24705385,-1.888417761
26.34050877,-2.333774416
26.41614445,-2.782649129
26.47653625,-3.234334254
26.52425942,-3.68812233
26.56188915,-4.143305894
26.59199932,-4.59917794
26.61679107,-5.055217704
26.63759263,-5.511340231
26.65560741,-5.967522802
26.67203892,-6.423742511
26.68809054,-6.879976637
26.7049657,-7.33620246
26.72362617,-7.792399357
26.74318847,-8.248562308
26.76191819,-8.704693779
26.77807668,-9.160796414
26.78992496,-9.616872587
26.79572409,-10.07292476
26.79394644,-10.52895357
26.78464167,-10.98494488
26.76857389,-11.44087825
26.74651024,-11.89673296
26.71921834,-12.35248848
26.68746539,-12.80812419
26.65201891,-13.26361946
26.61364623,-13.71895368
26.57311474,-14.17410613
26.53119188,-14.62905646
26.48864505,-15.08378377
26.44624157,-15.53826763
26.40465241,-15.99249635
26.36385794,-16.4465225
26.32353734,-16.90042664
26.28336857,-17.35428945
26.24302954,-17.8081915
26.20219821,-18.26221354
26.16055247,-18.71643624
26.1177704,-19.17094026
26.07352978,-19.62580637
26.0275086,-20.08111504
25.97938492,-20.53694712
25.92883655,-20.99338309
25.87529909,-21.45039795
25.80996939,-21.90436871
25.71398401,-22.34727922
25.56791774,-22.7708479
25.35989455,-23.16706052
25.09355988,-23.52845264
24.77456376,-23.84783557
24.41148442,-24.12446974
24.01632182,-24.36515089
23.60124688,-24.57701052
23.17555053,-24.75571997
22.74286952,-24.87445226
22.30632434,-24.90436907
21.87322531,-24.83460799
21.45566737,-24.67483129
21.06600003,-24.43583735
20.71589482,-24.13010005
20.41575326,-23.77323303
20.17583559,-23.38119428
20.00191814,-22.96741929
19.88524235,-22.53716755
19.81410986,-22.09404497
19.77682241,-21.64165722
19.76168155,-21.18361022
19.75699029,-20.72350956
19.75354961,-20.26416508
19.74998538,-19.80589607
19.74645118,-19.34853519
19.74310074,-18.89191517
19.74008767,-18.43586865
19.73756551,-17.98022829
19.73568795,-17.52482691
19.73460864,-17.06949716
19.73448108,-16.61407169
19.735459,-16.15838333
19.737696,-15.70226464
19.74134527,-15.24554853
19.74597047,-14.78818217
19.74935877,-14.33045766
19.7489642,-13.87273159
19.74224071,-13.41536094
19.72664232,-12.95870232
19.69962316,-12.50311242
19.65873224,-12.04897321
19.60249379,-11.59692354
19.53000313,-11.14775318
19.44036293,-10.70225363
19.33267601,-10.26121639
19.20604492,-9.825433242
19.05995155,-9.39552788
18.89766511,-8.970449741
18.72463333,-8.548184387
18.54632985,-8.126706339
18.36822867,-7.703989845
18.19580343,-7.278009242
18.03349363,-6.847268029
17.87564396,-6.415435373
17.71089915,-5.989097252
17.52783926,-5.574872403
17.3150446,-5.179379929
17.06109531,-4.809238382
16.75595196,-4.471348737
16.4026216,-4.175275102
16.01129269,-3.932047702
15.59216543,-3.752325099
15.15421336,-3.639209067
14.70529338,-3.58892468
14.25316816,-3.597350078
13.80256809,-3.654919237
13.35363032,-3.743818488
12.90610867,-3.84555718
12.45975118,-3.946688785
12.01429023,-4.046854873
11.5694568,-4.147776876
11.12504477,-4.250366841
10.68094079,-4.354335686
10.23703921,-4.459297241
9.793234174,-4.564865428
9.349420102,-4.670654074
8.905491238,-4.776276828
8.461341822,-4.88134761
8.016866187,-4.98548034
7.571958574,-5.088288666
7.126513224,-5.189386509
6.680424469,-5.288387697
6.233594033,-5.384930424
5.786287363,-5.479851911
5.339291216,-5.5757057
4.893432321,-5.675177921
4.44953731,-5.78095434
4.008433185,-5.895721178
3.57094658,-6.022164291
3.137706025,-6.162274301
2.708472903,-6.314998364
2.282771343,-6.478451982
1.860125567,-6.650750201
1.440059707,-6.830008432
1.022097983,-7.014341813
0.605811155,-7.202108206
0.19097055,-7.392703262
-0.222599579,-7.585800215
-0.635074706,-7.781071931
-1.046630124,-7.978191736
-1.457441488,-8.176832499
-1.867684272,-8.376667452
-2.277533951,-8.577369554
-2.687165998,-8.77861204
-3.096755888,-8.980067869
-3.506479185,-9.181410183
-3.916511364,-9.382311941
-4.327009192,-9.582480139
-4.737840358,-9.782143268
-5.148644969,-9.981941082
-5.55905684,-10.18252429
-5.968709692,-10.38454368
-6.377237613,-10.58865014
-6.784274233,-10.79549429
-7.189453456,-11.00572701
-7.592409096,-11.21999901
-7.992775149,-11.43896118
-8.390185337,-11.66326421
-8.784273472,-11.89355891
-9.174669262,-12.13049927
-9.56015908,-12.37538998
-9.937674824,-12.63096599
-10.30390165,-12.90015304
-10.65552453,-13.18587682
-10.98922853,-13.49106287
-11.3017073,-13.81862574
-11.59119158,-14.16952108
-11.85920762,-14.54050332
-12.10770773,-14.92778428
-12.3386441,-15.32757555
-12.55396904,-15.73608869
-12.75559194,-16.14954977
-12.93845154,-16.56649397
-13.08286801,-16.99029953
-13.16732046,-17.42495483
-13.17887282,-17.87259922
-13.13605607,-18.32859436
-13.06460895,-18.78674967
-12.98607015,-19.24113224
-12.89430163,-19.68750615
-12.77196468,-20.1223225
-12.60277773,-20.54196168
-12.38428358,-20.94188006
-12.12353433,-21.31689837
-11.8274419,-21.66243743
-11.50083981,-21.97780654
-11.14774798,-22.26383655
-10.77218472,-22.52136184
-10.37816812,-22.75121653
-9.969716485,-22.95423511
-9.550616872,-23.1316708
-9.12323485,-23.28735566
-8.689395421,-23.42610166
-8.250922402,-23.55272271
-7.809639882,-23.67203289
-7.367371771,-23.78884611
-6.925728996,-23.90741014
-6.485039602,-24.02856047
-6.045153484,-24.15186111
-5.60591953,-24.27687379
-5.167186721,-24.40316031
-4.72880404,-24.53028242
-4.290620466,-24.65780192
-3.852485072,-24.78528054
-3.41424684,-24.91228019
-2.975754658,-25.0383625
-2.5368576,-25.16308929
-2.097404646,-25.28602237
-1.657249978,-25.4067389
-1.216380274,-25.52521177
-0.774922646,-25.64183163
-0.333010592,-25.75700936
0.109222115,-25.87115597
0.551641794,-25.98468218
0.994114853,-26.09799905
1.436507522,-26.2115174
1.878686117,-26.32564814
2.32051705,-26.44080206
2.761866638,-26.55739016
3.202601109,-26.67582324
3.642593078,-26.7964977
4.081862346,-26.91946264
4.520579368,-27.04441208
4.958921534,-27.17102428
5.397066053,-27.29897712
5.835190314,-27.42794887
6.273471069,-27.55761868
6.711483823,-27.68904998
7.147011379,-27.82743363
7.577503753,-27.97872616
8.000981091,-28.14748013
8.418524068,-28.33071084
8.832235543,-28.52291619
9.2437843,-28.71974975
9.653569738,-28.92024425
10.06176122,-29.12404585
10.46852783,-29.3308003
10.87403875,-29.54015383
11.27846324,-29.7517522
11.68197049,-29.96524155
12.08472967,-30.18026782
12.48690996,-30.39647697
12.88868044,-30.61351504
13.29021057,-30.83102797
13.69166925,-31.04866181
14.09318661,-31.26614536
14.49478271,-31.48343901
14.89645848,-31.70054369
15.298215,-31.9174604
15.70005301,-32.13419004
16.1019736,-32.35073353
16.50397759,-32.56709178
16.90606608,-32.7832658
17.30823998,-32.9992564
17.71050021,-33.2150646
18.11284767,-33.4306913
18.51528336,-33.64613742
18.91780821,-33.86140395
19.32042321,-34.07649173
19.72312929,-34.29140166
20.12592734,-34.50613484
20.52881846,-34.72069199
20.93180339,-34.93507423
21.33488314,-35.14928235
21.73805878,-35.36331737
22.14133115,-35.57718012
22.54470125,-35.79087159
22.94816999,-36.00439278
23.35173828,-36.21774443
23.75540658,-36.43092846
24.15917006,-36.64395307
24.56302141,-36.85683031
24.96695316,-37.06957196
25.3709579,-37.28219014
25.77502825,-37.49469654
26.17915673,-37.7071033
26.58333594,-37.91942227
26.9875585,-38.13166542
27.39181701,-38.34384451
27.79610399,-38.55597167
28.20041205,-38.76805878
28.6047337,-38.98011769
29.00906165,-39.19216036
29.41338842,-39.40419874
29.81770661,-39.61624469
30.22200873,-39.82831027
30.6262875,-40.04040732
31.03053533,-40.25254781
31.43474503,-40.4647436
31.83890891,-40.67700673
32.24301978,-40.88934897
32.64707005,-41.10178237
33.05105244,-41.31431879
33.45495936,-41.52697047
33.85878051,-41.73975764
34.26250101,-41.95271254
34.66610598,-42.16586791
35.06958056,-42.37925689
35.47290969,-42.59291213
35.8760784,-42.80686676
36.27907173,-43.02115354
36.6818748,-43.23580551
37.08447256,-43.4508556
37.48685013,-43.66633657
37.88899245,-43.88228137
38.29088467,-44.09872303
38.6925117,-44.31569439
39.0938586,-44.53322831
39.49491058,-44.75135782
39.8956525,-44.97011576
40.29606947,-45.18953509
40.69614644,-45.40964865
41.09586854,-45.63048939
41.4952209,-45.85209023
41.89418836,-46.07448413
42.29275596,-46.29770394
42.69090893,-46.5217825
43.08863219,-46.74675294
43.4854967,-46.97319762
43.8794174,-47.20389765
44.26789493,-47.44218358
44.64843004,-47.69138613
45.01852368,-47.95483602
45.37567641,-48.2358637
45.71761957,-48.53743798
46.04541723,-48.85729195
46.36264127,-49.18921913
46.67280949,-49.52705064
46.97526106,-49.8694548
47.26407802,-50.22118581
47.53324555,-50.58712802
47.78009339,-50.96854763
48.00441952,-51.36404056
48.20607956,-51.77214034
48.38492918,-52.19138066
48.54082391,-52.62029495
48.67361958,-53.05741683
48.78317157,-53.50128
48.86933569,-53.95041778
48.93196749,-54.40336398
48.97092263,-54.85865203
48.98605674,-55.31481553
48.97722929,-55.77039028
48.94485548,-56.22423566
48.89047725,-56.67586668
48.81577314,-57.1248779
48.72242134,-57.57086391
48.61210039,-58.01341918
48.48648865,-58.4521383
48.34732901,-58.88672662
48.19678191,-59.31760663
48.03717466,-59.74548733
47.87083462,-60.1710782
47.70008957,-60.5950889
47.52726685,-61.01822889
47.35444804,-61.44113646
47.18215338,-61.86399722
47.01029307,-62.28682011
46.83877587,-62.70961353
46.6675106,-63.13238587
46.49640593,-63.55514571
46.3253708,-63.97790144
46.15431385,-64.40066146
45.98314403,-64.82343425
45.81176999,-65.24622822
45.64010049,-65.66905193
45.46804445,-66.0919137
45.29551883,-66.5148147
45.12249198,-66.93771196
44.94895103,-67.36054562
44.77488338,-67.783256
44.60027635,-68.20578324
44.42511725,-68.62806767
44.24939351,-69.05004933
44.07309233,-69.47166863
43.89620112,-69.89286572
43.71870721,-70.31358082
43.540598,-70.73375418
43.36186063,-71.15332601
43.18248532,-71.57224139
43.00253149,-71.99056994
42.82213291,-72.40851478
42.6414269,-72.82628497
42.46055071,-73.24408993
42.27964177,-73.66213907
42.0988373,-74.08064154
41.91827474,-74.49980676
41.73809133,-74.91984406
41.55842448,-75.34096277
41.37941143,-75.7633722
41.20118944,-76.18728161
41.02373358,-76.6127659
40.84307147,-77.03663078
40.65116295,-77.45231326
40.43978121,-77.8530955
40.2006994,-78.23225977
39.92569076,-78.5830885
39.60653176,-78.8988635
39.23959829,-79.17245346
38.83499294,-79.39549333
38.40536808,-79.55938905
37.96228693,-79.65985207
37.51155181,-79.71537558
37.05706567,-79.75195356
36.60188256,-79.7895091
36.1466156,-79.83047283
35.69144107,-79.87414569
35.23653536,-79.91982916
34.78207495,-79.96682425
34.32823605,-80.01443245
33.87507532,-80.0621654
33.42231134,-80.11012801
32.96960385,-80.15852927
32.51661239,-80.20757822
32.06299632,-80.25748383
31.60841546,-80.3084536
31.15273778,-80.35951078
30.69640675,-80.40639838
30.23996539,-80.44429584
29.78395629,-80.46838268
29.32892219,-80.47383825
28.87540595,-80.45584199
28.42403263,-80.40991754
27.97619059,-80.33477424
27.5336814,-80.23084701
27.09819627,-80.09882596
26.66921801,-79.94399967
26.24423431,-79.77581054
25.82082697,-79.60321868
25.39805873,-79.42953756
24.97577193,-79.2551082
24.55381583,-79.08024539
24.13203967,-78.90526369
23.7102927,-78.73047781
23.28842429,-78.55620238
22.86628367,-78.38275213
22.44372011,-78.21044168
22.02058277,-78.03958558
21.59672118,-77.87049864
21.17198432,-77.70349548
20.74629134,-77.53872777
20.32015679,-77.3749535
19.89439775,-77.2102232
19.46983362,-77.04258184
19.04728393,-76.87007448
18.62756792,-76.69074598
18.21150785,-76.50265027
17.80005746,-76.30427541
17.39435948,-76.09473281
16.99557142,-75.87318197
16.6048505,-75.63878247
16.22335425,-75.3906939
15.85222474,-75.12809319
15.49189167,-74.85098124
15.14178299,-74.56051648
14.80125156,-74.25794419
14.46965015,-73.94450967
14.1463316,-73.62145839
13.83064867,-73.29003564
