# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0, 0.0, 10.0, 10.0
-0.027708129446250496, 0.5669877211421522, 10.0, 10.0
-0.05587292795248686, 1.1339529409647469, 10.0, 10.0
-0.08439325324367247, 1.7009003877432578, 10.0, 10.0
-0.11319783153543313, 2.267833463716795, 10.0, 10.0
-0.14223564783666234, 2.8347546412960414, 10.0, 10.0
-0.1714697414177067, 3.401665731446758, 10.0, 10.0
-0.20070383499872835, 3.9685768215974804, 10.0, 10.0
-0.2299379285797727, 4.535487911748203, 10.0, 10.0
-0.2591720221608057, 5.10239900189892, 10.0, 10.0
-0.28840611574183866, 5.669310092049642, 10.0, 10.0
-0.31764020932288306, 6.236221182200359, 10.0, 10.0
-0.3468743029039161, 6.803132272351082, 10.0, 10.0
-0.37610839648494904, 7.370043362501804, 10.0, 10.0
-0.5768901293333898, 7.901013712067345, 10.0, 10.0
-0.9300784045751584, 8.34542439892707, 10.0, 10.0
-1.4020027737322494, 8.660908481186494, 10.0, 10.0
-1.944301794934097, 8.828701770584212, 10.0, 10.0
-2.494374603637448, 8.96892559697825, 10.0, 10.0
-3.0456684525969537, 9.104269264960157, 10.0, 10.0
-3.597196555311541, 9.238655158116478, 10.0, 10.0
-4.148775267174199, 9.372833177863845, 10.0, 10.0
-4.700353979036845, 9.507011197611211, 10.0, 10.0
-5.251932690899491, 9.641189217358567, 10.0, 10.0
-5.803511402762149, 9.775367237105934, 10.0, 10.0
-6.355090114624796, 9.90954525685329, 10.0, 10.0
-6.906668826487442, 10.043723276600657, 10.0, 10.0
-7.4582475383501, 10.177901296348024, 10.0, 10.0
-8.009826250212734, 10.312079316095378, 10.0, 10.0
-8.561404962075391, 10.446257335842745, 10.0, 10.0
-9.11298367393805, 10.580435355590112, 10.0, 10.0
-9.664562385800686, 10.714613375337468, 10.0, 10.0
-10.216141097663343, 10.848791395084834, 10.0, 10.0
-10.767719809525989, 10.982969414832201, 10.0, 10.0
-11.319298521388635, 11.117147434579557, 10.0, 10.0
-11.870877233251292, 11.251325454326924, 10.0, 10.0
-12.422455945113938, 11.38550347407429, 10.0, 10.0
-12.974034656976585, 11.519681493821645, 10.0, 10.0
-13.525613368839243, 11.653859513569012, 10.0, 10.0
-14.07719208070189, 11.788037533316379, 10.0, 10.0
-14.628770792564536, 11.922215553063735, 10.0, 10.0
-15.180349504427193, 12.056393572811102, 10.0, 10.0
-15.73192821628984, 12.190571592558456, 10.0, 10.0
-16.283506928152487, 12.324749612305823, 10.0, 10.0
-16.835085640015134, 12.45892763205319, 10.0, 10.0
-17.38666435187779, 12.593105651800546, 10.0, 10.0
-17.938243063740437, 12.727283671547912, 10.0, 10.0
-18.489821775603083, 12.861461691295268, 10.0, 10.0
-19.04140048746573, 12.995639711042635, 10.0, 10.0
-19.592979199328386, 13.129817730790002, 10.0, 10.0
-20.144557911191033, 13.263995750537356, 10.0, 10.0
-20.69613662305368, 13.398173770284723, 10.0, 10.0
-21.247715334916336, 13.532351790032079, 10.0, 10.0
-21.799294046778982, 13.666529809779446, 10.0, 10.0
-22.35087275864163, 13.800707829526813, 10.0, 10.0
-22.90245147050429, 13.934885849274167, 10.0, 10.0
-23.454030182366935, 14.069063869021534, 10.0, 10.0
